,ListingCreationDate,Term,LoanStatus,ClosedDate,BorrowerAPR,BorrowerRate,BorrowerState,Occupation,EmploymentStatus,CreditScoreRangeUpper,Credit,Rate_Range,Count
56078,2014-02-11 13:36:06.990000000,36,Current,,0.32488,0.285,WI,Religious,Employed,679.0,Fair,25-29.99%,1
56102,2009-08-30 03:47:22.733000000,36,Completed,2012-06-26 00:00:00,0.33513,0.3085,WI,Other,Full-time,639.0,Poor,30-34.99%,1
56109,2008-09-06 13:27:37.017000000,36,Defaulted,2009-11-17 00:00:00,0.11897,0.112,WI,Other,Self-employed,839.0,Excellent,10-14.99%,1
56132,2012-05-07 10:34:41.653000000,36,Current,,0.35797,0.3177,WI,Other,Other,719.0,Good,30-34.99%,1
56174,2014-02-15 12:21:46.403000000,60,Current,,0.1771,0.1535,WI,Sales - Retail,Employed,699.0,Fair,15-19.99%,1
56195,2007-03-27 14:55:48.360000000,36,Completed,2010-01-05 00:00:00,0.10933,0.1024,WI,Clerical,Full-time,759.0,Excellent,10-14.99%,1
56369,2014-02-20 03:36:33.297000000,36,Current,,0.09065,0.0769,WI,Food Service Management,Employed,759.0,Excellent,5-9.99%,1
56377,2008-09-26 04:17:16.457000000,36,Completed,2011-10-07 00:00:00,0.27081,0.2555,WI,Executive,Self-employed,699.0,Fair,25-29.99%,1
56452,2013-10-29 18:32:42.230000000,36,Current,,0.19144,0.155,WI,Architect,Employed,699.0,Fair,15-19.99%,1
56492,2011-08-12 18:44:25.700000000,60,Chargedoff,2013-05-01 00:00:00,0.32958,0.3049,WI,Chemist,Employed,699.0,Fair,30-34.99%,1
56535,2012-10-22 07:07:38.357000000,36,Current,,0.12528,0.0974,WI,Executive,Employed,779.0,Excellent,5-9.99%,1
56583,2011-07-11 16:01:39.660000000,36,Current,,0.202,0.1799,WI,Administrative Assistant,Employed,719.0,Good,15-19.99%,1
56585,2013-10-19 12:27:05.520000000,36,Current,,0.13301,0.105,WI,,Other,759.0,Excellent,10-14.99%,1
56591,2013-11-12 13:47:57.833000000,36,Current,,0.12274,0.0949,WI,Police Officer/Correction Officer,Employed,739.0,Good,5-9.99%,1
56759,2014-01-29 14:40:07,36,Current,,0.25279,0.215,WI,Analyst,Employed,699.0,Fair,20-24.99%,1
56819,2010-05-26 11:47:32.683000000,36,Completed,2011-08-30 00:00:00,0.07439,0.071,WI,Professional,Full-time,759.0,Excellent,5-9.99%,1
56875,2008-02-08 11:27:18.617000000,36,Completed,2011-02-26 00:00:00,0.16436,0.15,WI,Other,Full-time,759.0,Excellent,15-19.99%,1
56967,2012-04-13 07:02:23.810000000,60,Current,,0.23318,0.2085,WI,Professional,Employed,679.0,Fair,20-24.99%,1
57086,2012-05-18 11:40:59.490000000,36,Completed,2013-11-08 00:00:00,0.21372,0.1768,WI,Sales - Commission,Employed,679.0,Fair,15-19.99%,1
57093,2013-09-23 16:09:29.887000000,36,Current,,0.06726,0.0605,WI,Teacher,Employed,859.0,Excellent,5-9.99%,1
57161,2012-06-06 07:24:11.217000000,12,Completed,2013-06-08 00:00:00,0.17969,0.1224,WI,Other,Employed,679.0,Fair,10-14.99%,1
57374,2013-09-12 15:06:28.680000000,36,Current,,0.33215,0.2925,WI,Teacher,Employed,659.0,Fair,25-29.99%,1
57383,2013-04-03 15:58:23.083000000,60,Completed,2013-12-18 00:00:00,0.31293,0.2862,WI,Other,Employed,739.0,Good,25-29.99%,1
57394,2014-02-01 11:50:57.357000000,36,Current,,0.12691,0.099,WI,Scientist,Employed,699.0,Fair,5-9.99%,1
57397,2014-02-18 10:50:04.013000000,60,Current,,0.18938,0.1655,WI,Accountant/CPA,Employed,759.0,Excellent,15-19.99%,1
57603,2013-12-04 06:08:27.703000000,36,Current,,0.0762,0.0629,WI,Other,Employed,759.0,Excellent,5-9.99%,1
57675,2014-01-28 10:10:59.493000000,36,Current,,0.12691,0.099,WI,Computer Programmer,Self-employed,739.0,Good,5-9.99%,1
57680,2010-06-14 10:55:32.650000000,36,Chargedoff,2011-01-28 00:00:00,0.37453,0.35,WI,Other,Full-time,679.0,Fair,35-39.99%,1
57737,2008-06-06 19:50:24.007000000,36,Completed,2011-06-17 00:00:00,0.07203,0.055,WI,Accountant/CPA,Full-time,799.0,Excellent,5-9.99%,1
57758,2011-10-02 13:32:42.257000000,36,Completed,2012-06-19 00:00:00,0.16056,0.139,WI,Teacher,Employed,859.0,Excellent,10-14.99%,1
57830,2008-06-07 21:55:42.093000000,36,Chargedoff,2010-04-19 00:00:00,0.14974,0.1355,WI,Sales - Commission,Full-time,699.0,Fair,10-14.99%,1
57898,2011-08-09 19:50:42.017000000,36,Completed,2012-06-08 00:00:00,0.34621,0.3099,WI,Executive,Self-employed,619.0,Poor,30-34.99%,1
57967,2009-09-18 11:11:44.697000000,36,Completed,2012-07-24 00:00:00,0.1241,0.103,WI,Professional,Full-time,739.0,Good,10-14.99%,1
58017,2013-05-09 08:04:53.397000000,36,Current,,0.25013,0.2124,WI,Other,Employed,699.0,Fair,20-24.99%,1
58020,2013-11-25 21:47:28.133000000,36,Current,,0.14714,0.1189,WI,Engineer - Electrical,Employed,739.0,Good,10-14.99%,1
58113,2011-03-17 16:09:50.370000000,36,Chargedoff,2012-09-28 00:00:00,0.2951,0.2599,WI,Engineer - Electrical,Employed,699.0,Fair,25-29.99%,1
58174,2011-10-03 09:23:51.223000000,36,Current,,0.30532,0.2699,WI,Administrative Assistant,Employed,779.0,Excellent,25-29.99%,1
58246,2013-07-17 08:47:12.123000000,36,Current,,0.32538,0.2859,WI,Sales - Retail,Employed,679.0,Fair,25-29.99%,1
58344,2013-04-10 12:43:54.527000000,60,Current,,0.15629,0.1334,WI,Computer Programmer,Employed,799.0,Excellent,10-14.99%,1
58403,2012-05-28 16:30:09.563000000,36,Completed,2013-03-25 00:00:00,0.15538,0.127,WI,Other,Employed,819.0,Excellent,10-14.99%,1
58481,2008-03-04 03:45:25.643000000,36,Completed,2010-06-18 00:00:00,0.11696,0.11,WI,Engineer - Mechanical,Full-time,799.0,Excellent,10-14.99%,1
58492,2013-09-30 06:04:56.940000000,36,Current,,0.12691,0.099,WI,Executive,Employed,719.0,Good,5-9.99%,1
58546,2013-07-26 18:18:02.927000000,60,Current,,0.30748,0.2809,WI,Teacher's Aide,Employed,659.0,Fair,25-29.99%,1
58578,2009-11-12 20:21:07.537000000,36,Completed,2012-04-23 00:00:00,0.18203,0.1602,WI,Sales - Retail,Full-time,739.0,Good,15-19.99%,1
58623,2008-08-16 12:03:03.303000000,36,Completed,2011-07-22 00:00:00,0.15094,0.1295,WI,Other,Full-time,679.0,Fair,10-14.99%,1
58653,2013-12-11 06:41:04.720000000,36,Current,,0.1899,0.1535,WI,Construction,Employed,719.0,Good,15-19.99%,1
58694,2011-09-19 12:25:32.440000000,36,Completed,2014-01-08 00:00:00,0.30532,0.2699,WI,Other,Other,759.0,Excellent,25-29.99%,1
58718,2014-01-08 18:30:10.870000000,60,Current,,0.2214,0.197,WI,Retail Management,Employed,759.0,Excellent,15-19.99%,1
58764,2011-01-11 20:44:15.820000000,36,Completed,2013-09-25 00:00:00,0.33097,0.295,WI,Waiter/Waitress,Employed,739.0,Good,25-29.99%,1
58945,2012-11-30 05:17:10.187000000,36,Current,,0.23939,0.2019,WI,Skilled Labor,Employed,679.0,Fair,20-24.99%,1
58984,2013-10-21 05:15:15.987000000,36,Current,,0.19144,0.155,WI,Military Enlisted,Employed,699.0,Fair,15-19.99%,1
59080,2013-02-11 23:25:44.100000000,60,Current,,0.13942,0.1169,WI,Laborer,Employed,739.0,Good,10-14.99%,1
59187,2014-01-06 14:43:12.163000000,36,Current,,0.15223,0.1239,WI,Other,Employed,679.0,Fair,10-14.99%,1
59276,2013-07-19 08:05:02.333000000,60,Current,,0.20081,0.1769,WI,Clergy,Employed,759.0,Excellent,15-19.99%,1
59288,2007-02-14 16:55:52.190000000,36,Completed,2007-11-02 00:00:00,0.08605,0.0775,WI,Engineer - Chemical,Full-time,799.0,Excellent,5-9.99%,1
59289,2013-12-02 21:36:14.963000000,60,Current,,0.16969,0.1465,WI,Professional,Employed,759.0,Excellent,10-14.99%,1
59297,2013-11-23 16:33:46.510000000,36,Current,,0.0903,0.0769,WI,Scientist,Employed,819.0,Excellent,5-9.99%,1
59306,2014-02-04 15:46:13.383000000,60,Current,,0.14147,0.1189,WI,Sales - Commission,Employed,839.0,Excellent,10-14.99%,1
59376,2013-06-04 11:12:55.200000000,60,Current,,0.29998,0.2736,WI,Bus Driver,Employed,659.0,Fair,25-29.99%,1
59438,2006-12-01 10:27:42.740000000,36,Completed,2009-12-11 00:00:00,0.1847,0.1665,WI,Other,Not available,639.0,Poor,15-19.99%,1
59468,2013-10-08 10:52:27.657000000,60,Current,,0.19323,0.1695,WI,Executive,Employed,719.0,Good,15-19.99%,1
59510,2013-09-22 15:16:02.657000000,60,Current,,0.30337,0.2769,WI,Professional,Employed,659.0,Fair,25-29.99%,1
59691,2013-10-15 12:10:49.897000000,36,Current,,0.26047,0.2225,WI,Medical Technician,Employed,679.0,Fair,20-24.99%,1
59700,2008-05-27 16:32:13.590000000,36,Completed,2009-02-17 00:00:00,0.26951,0.2465,WI,Other,Full-time,619.0,Poor,20-24.99%,1
59841,2013-05-09 14:44:43.900000000,36,Past Due (16-30 days),,0.29537,0.2566,WI,Professional,Employed,679.0,Fair,25-29.99%,1
59915,2010-02-18 20:16:10.933000000,36,Completed,2011-06-17 00:00:00,0.06257,0.0592,WI,Other,Full-time,819.0,Excellent,5-9.99%,1
59974,2012-02-09 15:49:08.313000000,36,Defaulted,2012-09-20 00:00:00,0.24246,0.2049,WI,Skilled Labor,Employed,699.0,Fair,20-24.99%,1
59987,2012-06-12 21:17:12.913000000,36,Current,,0.35797,0.3177,WI,Laborer,Employed,679.0,Fair,30-34.99%,1
60028,2013-10-01 15:31:54.650000000,60,Current,,0.24036,0.2155,WI,Retail Management,Employed,659.0,Fair,20-24.99%,1
60055,2013-11-20 22:40:37.073000000,60,Current,,0.15425,0.1314,WI,Food Service Management,Employed,739.0,Good,10-14.99%,1
60152,2012-10-10 11:40:57.340000000,60,Current,,0.12992,0.1076,WI,Other,Employed,799.0,Excellent,10-14.99%,1
60159,2014-02-06 12:08:01.873000000,36,Current,,0.15223,0.1239,WI,Other,Employed,699.0,Fair,10-14.99%,1
60303,2013-07-31 12:45:04.570000000,36,Current,,0.21025,0.1734,WI,Teacher,Employed,759.0,Excellent,15-19.99%,1
60361,2007-01-08 17:59:39.260000000,36,Completed,2008-07-22 00:00:00,0.08684,0.08,WI,Engineer - Mechanical,Not available,759.0,Excellent,5-9.99%,1
60405,2011-05-07 12:42:27.650000000,36,Current,,0.32576,0.2899,WI,Computer Programmer,Employed,619.0,Poor,25-29.99%,1
60418,2014-02-03 16:29:11.437000000,36,Current,,0.1899,0.1535,WI,Truck Driver,Employed,659.0,Fair,15-19.99%,1
60476,2014-01-02 07:10:10.477000000,36,Current,,0.20524,0.1685,WI,Other,Employed,699.0,Fair,15-19.99%,1
60530,2008-06-16 17:50:43.993000000,36,Completed,2011-06-26 00:00:00,0.26373,0.2408,WI,Accountant/CPA,Full-time,659.0,Fair,20-24.99%,1
60671,2006-12-24 10:15:27.880000000,36,Completed,2008-03-28 00:00:00,0.08172,0.0749,WI,Sales - Commission,Not available,779.0,Excellent,5-9.99%,1
60803,2013-12-08 15:47:32.623000000,36,Current,,0.12081,0.093,WI,Other,Employed,739.0,Good,5-9.99%,1
60874,2013-07-03 10:54:10.837000000,60,Current,,0.17061,0.1474,WI,Tradesman - Mechanic,Employed,759.0,Excellent,10-14.99%,1
60910,2008-01-11 09:37:43,36,Completed,2011-01-04 00:00:00,0.13625,0.115,WI,Attorney,Full-time,679.0,Fair,10-14.99%,1
60919,2014-02-20 11:28:19.377000000,36,Current,,0.16361,0.1274,WI,Sales - Commission,Employed,699.0,Fair,10-14.99%,1
61113,2013-05-10 15:18:40.010000000,36,Current,,0.22712,0.1899,WI,Other,Employed,699.0,Fair,15-19.99%,1
61249,2014-02-13 13:31:51.703000000,36,Current,,0.1954,0.1585,WI,Medical Technician,Employed,679.0,Fair,15-19.99%,1
61316,2013-02-17 07:18:50.683000000,60,Current,,0.31293,0.2862,WI,Executive,Employed,679.0,Fair,25-29.99%,1
61418,2008-04-04 22:18:05.427000000,36,Chargedoff,2009-04-17 00:00:00,0.15529,0.141,WI,Laborer,Full-time,739.0,Good,10-14.99%,1
61439,2014-02-12 15:16:11.863000000,60,Current,,0.19655,0.1725,WI,Skilled Labor,Employed,679.0,Fair,15-19.99%,1
61525,2007-03-20 20:00:41.070000000,36,Completed,2010-04-06 00:00:00,0.09387,0.087,WI,Professional,Full-time,799.0,Excellent,5-9.99%,1
61547,2011-10-25 08:40:01.350000000,12,Completed,2012-10-31 00:00:00,0.20857,0.1499,WI,Professional,Employed,739.0,Good,10-14.99%,1
61549,2014-02-28 15:58:22.097000000,36,Current,,0.06726,0.0605,WI,Other,Employed,839.0,Excellent,5-9.99%,1
61556,2011-06-01 10:07:19.503000000,60,Completed,2012-02-27 00:00:00,0.14657,0.1329,WI,Analyst,Employed,799.0,Excellent,10-14.99%,1
61738,2012-10-17 14:33:44.073000000,60,Completed,2013-02-07 00:00:00,0.24764,0.2226,WI,Tradesman - Electrician,Employed,619.0,Poor,20-24.99%,1
61841,2012-09-24 09:41:42.153000000,36,Current,,0.23939,0.2019,WI,Skilled Labor,Full-time,619.0,Poor,20-24.99%,1
61896,2013-08-27 15:46:16.667000000,36,Current,,0.20053,0.1639,WI,Administrative Assistant,Employed,739.0,Good,15-19.99%,1
61897,2013-11-14 14:27:28.597000000,60,Current,,0.16294,0.1399,WI,Teacher,Employed,739.0,Good,10-14.99%,1
61918,2014-01-01 18:12:33.673000000,36,Current,,0.19501,0.1585,WI,Professional,Employed,739.0,Good,15-19.99%,1
62007,2012-12-20 03:48:12.797000000,36,Current,,0.35356,0.3134,WI,Professional,Employed,639.0,Poor,30-34.99%,1
62018,2013-03-16 21:23:31.567000000,36,Current,,0.22712,0.1899,WI,Other,Other,719.0,Good,15-19.99%,1
62055,2012-06-04 15:51:15.900000000,60,Current,,0.35838,0.3304,WI,Other,Employed,699.0,Fair,30-34.99%,1
62236,2012-11-09 14:04:29.667000000,36,Current,,0.09736,0.0839,WI,Bus Driver,Full-time,819.0,Excellent,5-9.99%,1
62251,2008-09-05 15:50:35.920000000,36,Completed,2011-07-26 00:00:00,0.19412,0.1795,WI,Engineer - Chemical,Full-time,699.0,Fair,15-19.99%,1
62319,2006-09-30 19:34:48.110000000,36,Defaulted,2007-10-04 00:00:00,0.17125,0.16,WI,Nurse's Aide,Not available,519.0,Bad,15-19.99%,1
62347,2013-11-02 10:26:29.757000000,36,Current,,0.19144,0.155,WI,Police Officer/Correction Officer,Employed,679.0,Fair,15-19.99%,1
62363,2013-02-19 21:15:39.710000000,36,Past Due (31-60 days),,0.08325,0.0699,WI,Other,Self-employed,819.0,Excellent,5-9.99%,1
62365,2012-08-18 15:30:24.070000000,60,Chargedoff,2014-02-22 00:00:00,0.34614,0.3185,WI,Food Service Management,Employed,659.0,Fair,30-34.99%,1
62450,2011-01-18 07:47:56.823000000,36,Chargedoff,2012-10-26 00:00:00,0.30532,0.2699,WI,Nurse (RN),Employed,759.0,Excellent,25-29.99%,1
62470,2011-11-03 16:09:18.897000000,36,Completed,2013-12-12 00:00:00,0.35132,0.3149,WI,Clerical,Employed,699.0,Fair,30-34.99%,1
62566,2013-04-30 07:03:50.013000000,36,Current,,0.26528,0.2272,WI,Nurse (RN),Employed,739.0,Good,20-24.99%,1
62622,2014-01-19 09:56:26.260000000,60,Current,,0.18555,0.162,WI,Engineer - Chemical,Employed,679.0,Fair,15-19.99%,1
62688,2012-09-16 18:38:34.983000000,60,Current,,0.24302,0.2181,WI,Doctor,Self-employed,719.0,Good,20-24.99%,1
62706,2011-09-30 20:41:55.883000000,36,Completed,2014-01-22 00:00:00,0.27467,0.2399,WI,Attorney,Employed,739.0,Good,20-24.99%,1
62714,2012-06-29 10:42:31.280000000,36,Chargedoff,2013-07-10 00:00:00,0.19921,0.1626,WI,Clerical,Employed,719.0,Good,15-19.99%,1
62754,2013-11-06 07:07:12.050000000,60,Current,,0.1476,0.1249,WI,Engineer - Mechanical,Employed,739.0,Good,10-14.99%,1
62861,2013-08-21 09:05:54.517000000,60,Current,,0.24036,0.2155,WI,Skilled Labor,Employed,679.0,Fair,20-24.99%,1
62947,2011-03-14 15:34:10.453000000,36,Completed,2013-12-18 00:00:00,0.22872,0.1949,WI,Other,Employed,659.0,Fair,15-19.99%,1
62992,2014-03-04 05:34:18.637000000,36,Current,,0.22966,0.192,WI,Professional,Employed,679.0,Fair,15-19.99%,1
62995,2010-06-07 17:54:38.373000000,36,Completed,2012-07-11 00:00:00,0.11296,0.092,WI,Analyst,Full-time,739.0,Good,5-9.99%,1
63038,2013-11-07 05:43:32.630000000,36,Current,,0.21342,0.1765,WI,Accountant/CPA,Self-employed,719.0,Good,15-19.99%,1
63134,2014-01-24 07:40:12.027000000,36,Current,,0.22773,0.1905,WI,,Other,679.0,Fair,15-19.99%,1
63221,2014-01-11 19:18:01.900000000,36,Current,,0.16324,0.1274,WI,Other,Employed,719.0,Good,10-14.99%,1
63240,2013-07-01 10:09:52.233000000,36,Current,,0.19236,0.1559,WI,Postal Service,Full-time,699.0,Fair,15-19.99%,1
63253,2013-03-24 08:33:14.650000000,12,Past Due (1-15 days),,0.27181,0.1932,WI,Sales - Commission,Employed,779.0,Excellent,15-19.99%,1
63497,2014-02-17 16:22:32.380000000,60,Current,,0.18938,0.1655,WI,Executive,Employed,719.0,Good,15-19.99%,1
63514,2007-08-07 14:34:47.107000000,36,Completed,2007-11-26 00:00:00,0.0768,0.07,WI,Other,Self-employed,639.0,Poor,5-9.99%,1
63634,2008-09-17 15:44:57.577000000,36,Defaulted,2010-11-22 00:00:00,0.18386,0.162,WI,Professional,Full-time,639.0,Poor,15-19.99%,1
63640,2010-11-30 17:58:51.567000000,36,Chargedoff,2013-08-11 00:00:00,0.35858,0.322,WI,Laborer,Employed,699.0,Fair,30-34.99%,1
63691,2014-01-09 16:49:50.967000000,60,Current,,0.23267,0.208,WI,Social Worker,Employed,699.0,Fair,20-24.99%,1
63709,2014-01-10 01:33:03.977000000,36,Current,,0.18633,0.15,WI,Computer Programmer,Employed,719.0,Good,15-19.99%,1
63798,2010-08-19 16:13:33.190000000,36,Completed,2013-08-30 00:00:00,0.15803,0.1365,WI,Other,Employed,759.0,Excellent,10-14.99%,1
63803,2012-11-13 15:49:38.223000000,60,Past Due (61-90 days),,0.15752,0.1346,WI,Professional,Employed,739.0,Good,10-14.99%,1
64056,2013-12-23 09:18:46.017000000,36,Current,,0.09434,0.0809,WI,Nurse (RN),Employed,719.0,Good,5-9.99%,1
64081,2011-07-26 20:07:04.710000000,36,Completed,2013-02-12 00:00:00,0.16056,0.139,WI,Computer Programmer,Employed,779.0,Excellent,10-14.99%,1
64232,2012-02-26 09:35:37.647000000,36,Current,,0.12782,0.0999,WI,Other,Employed,759.0,Excellent,5-9.99%,1
64314,2008-05-14 05:13:57.613000000,36,Completed,2011-05-23 00:00:00,0.18183,0.16,WI,Clergy,Full-time,679.0,Fair,15-19.99%,1
64710,2014-01-14 07:36:52.403000000,60,Current,,0.18555,0.162,WI,Analyst,Employed,699.0,Fair,15-19.99%,1
64828,2007-05-30 20:35:35.540000000,36,Completed,2010-06-18 00:00:00,0.1699,0.1579,WI,Nurse (RN),Full-time,639.0,Poor,15-19.99%,1
64832,2008-04-23 13:34:56.467000000,36,Completed,2009-04-02 00:00:00,0.10682,0.0999,WI,Other,Full-time,779.0,Excellent,5-9.99%,1
64841,2012-07-27 11:56:28.953000000,36,Completed,2013-12-27 00:00:00,0.08829,0.0749,WI,Computer Programmer,Employed,819.0,Excellent,5-9.99%,1
64897,2013-12-27 08:39:50.047000000,60,Current,,0.15844,0.1355,WI,Other,Employed,739.0,Good,10-14.99%,1
64932,2013-10-16 10:18:00.527000000,36,Current,,0.15833,0.1299,WI,Other,Self-employed,759.0,Excellent,10-14.99%,1
65083,2007-11-19 05:20:42.503000000,36,Chargedoff,2010-03-05 00:00:00,0.16985,0.1566,WI,Other,Full-time,639.0,Poor,15-19.99%,1
65111,2012-10-31 20:37:21.007000000,60,Current,,0.25861,0.2333,WI,Construction,Self-employed,719.0,Good,20-24.99%,1
65201,2014-02-09 07:01:37.567000000,60,Current,,0.13227,0.1099,WI,Police Officer/Correction Officer,Employed,759.0,Excellent,10-14.99%,1
65288,2014-01-13 12:25:01.480000000,36,Current,,0.21648,0.1795,WI,Construction,Employed,739.0,Good,15-19.99%,1
65291,2013-10-07 10:54:36.583000000,36,Current,,0.18479,0.1485,WI,Other,Employed,679.0,Fair,10-14.99%,1
65524,2013-04-11 10:43:53.137000000,36,Current,,0.15833,0.1299,WI,Professional,Employed,759.0,Excellent,10-14.99%,1
65565,2013-02-27 07:50:21.870000000,36,Current,,0.35356,0.3134,WI,Other,Other,679.0,Fair,30-34.99%,1
65650,2008-06-03 12:09:26.947000000,36,Chargedoff,2009-05-06 00:00:00,0.37453,0.35,WI,Computer Programmer,Full-time,599.0,Poor,35-39.99%,1
65681,2013-08-26 14:29:41.467000000,60,Current,,0.20081,0.1769,WI,Clerical,Employed,719.0,Good,15-19.99%,1
65805,2011-08-22 08:39:04.630000000,60,Completed,2012-06-29 00:00:00,0.16289,0.149,WI,Pilot - Private/Commercial,Employed,779.0,Excellent,10-14.99%,1
65865,2013-09-11 16:04:18.790000000,60,Completed,2013-12-06 00:00:00,0.22601,0.2015,WI,Other,Employed,699.0,Fair,20-24.99%,1
65946,2008-03-25 18:08:26,36,Completed,2010-11-17 00:00:00,0.15629,0.142,WI,Administrative Assistant,Full-time,699.0,Fair,10-14.99%,1
65952,2007-12-17 10:32:20.400000000,36,Completed,2010-04-27 00:00:00,0.15703,0.1499,WI,Tradesman - Mechanic,Full-time,699.0,Fair,10-14.99%,1
65972,2008-03-02 12:58:28.647000000,36,Completed,2010-04-27 00:00:00,0.15629,0.142,WI,Other,Full-time,699.0,Fair,10-14.99%,1
66021,2013-07-09 11:28:31.637000000,60,Completed,2013-11-08 00:00:00,0.17522,0.1519,WI,Other,Employed,799.0,Excellent,15-19.99%,1
66059,2008-02-23 12:11:08.503000000,36,Chargedoff,2009-03-13 00:00:00,0.13814,0.124,WI,Other,Full-time,699.0,Fair,10-14.99%,1
66092,2008-07-12 20:28:49.837000000,36,Completed,2011-07-24 00:00:00,0.12866,0.1075,WI,Other,Full-time,679.0,Fair,10-14.99%,1
66178,2012-10-22 18:26:49.903000000,60,Past Due (31-60 days),,0.23277,0.2081,WI,Sales - Retail,Employed,719.0,Good,20-24.99%,1
66179,2012-11-11 07:40:48.493000000,36,Current,,0.35797,0.3177,WI,Other,Other,679.0,Fair,30-34.99%,1
66194,2013-12-05 12:43:33.327000000,36,Current,,0.15223,0.1239,WI,,Other,699.0,Fair,10-14.99%,1
66197,2013-12-02 15:42:41.740000000,36,Current,,0.22773,0.1905,WI,Professional,Employed,679.0,Fair,15-19.99%,1
66203,2012-02-09 17:30:46.790000000,36,Current,,0.35797,0.3177,WI,Skilled Labor,Employed,679.0,Fair,30-34.99%,1
66220,2012-10-16 08:08:20.283000000,36,Current,,0.20462,0.1679,WI,Sales - Commission,Employed,739.0,Good,15-19.99%,1
66248,2012-02-28 16:55:10.813000000,36,Defaulted,2012-09-05 00:00:00,0.2837,0.2452,WI,Other,Employed,759.0,Excellent,20-24.99%,1
66297,2010-04-07 11:15:39.240000000,36,Completed,2012-01-26 00:00:00,0.16005,0.1385,WI,Administrative Assistant,Full-time,739.0,Good,10-14.99%,1
66316,2013-10-14 20:44:00.867000000,36,Current,,0.24205,0.2045,WI,Analyst,Employed,679.0,Fair,20-24.99%,1
66322,2013-09-03 08:52:26.490000000,36,Current,,0.26528,0.2272,WI,Tradesman - Mechanic,Employed,699.0,Fair,20-24.99%,1
66324,2012-09-23 08:28:47.623000000,36,Current,,0.17754,0.1414,WI,Teacher,Employed,719.0,Good,10-14.99%,1
66407,2013-04-23 13:43:12.150000000,36,Completed,2013-08-13 00:00:00,0.35356,0.3134,WI,Other,Not employed,659.0,Fair,30-34.99%,1
66463,2013-06-03 07:34:16.933000000,36,Current,,0.32538,0.2859,WI,Other,Employed,679.0,Fair,25-29.99%,1
66505,2008-06-20 16:53:32.640000000,36,Chargedoff,2010-08-31 00:00:00,0.16446,0.1501,WI,Teacher,Full-time,699.0,Fair,15-19.99%,1
66509,2013-10-15 16:59:05.177000000,60,Current,,0.22601,0.2015,WI,Police Officer/Correction Officer,Employed,679.0,Fair,20-24.99%,1
66575,2011-09-02 14:00:29.900000000,36,Completed,2012-04-02 00:00:00,0.30532,0.2699,WI,Other,Employed,739.0,Good,25-29.99%,1
66641,2012-06-24 08:13:43.680000000,36,Current,,0.33973,0.2999,WI,Other,Self-employed,699.0,Fair,25-29.99%,1
66642,2012-12-27 09:57:33.063000000,60,Chargedoff,2014-03-02 00:00:00,0.33709,0.3097,WI,Executive,Employed,639.0,Poor,30-34.99%,1
66716,2013-05-19 16:35:28.553000000,36,Current,,0.13697,0.1089,WI,Other,Employed,759.0,Excellent,10-14.99%,1
66917,2012-05-03 15:27:55.367000000,36,Current,,0.35797,0.3177,WI,Clergy,Full-time,679.0,Fair,30-34.99%,1
66972,2014-01-20 08:51:45,60,Current,,0.2004,0.1765,WI,Nurse (RN),Employed,779.0,Excellent,15-19.99%,1
67031,2013-12-24 14:11:40.573000000,60,Current,,0.23267,0.208,WI,Other,Employed,719.0,Good,20-24.99%,1
67083,2013-01-26 14:25:50.763000000,36,Current,,0.25781,0.2199,WI,Other,Employed,699.0,Fair,20-24.99%,1
67088,2013-01-21 13:43:02.693000000,60,Current,,0.26877,0.2432,WI,Other,Employed,699.0,Fair,20-24.99%,1
67091,2013-07-30 17:12:26.760000000,60,Current,,0.22693,0.2024,WI,Other,Employed,699.0,Fair,20-24.99%,1
67176,2012-05-24 05:57:14.700000000,36,Completed,2014-03-03 00:00:00,0.18316,0.1469,WI,Executive,Employed,719.0,Good,10-14.99%,1
67258,2011-03-21 20:06:14.030000000,36,Completed,2013-03-12 00:00:00,0.20321,0.1699,WI,Sales - Commission,Employed,659.0,Fair,15-19.99%,1
67419,2010-02-14 16:53:55.470000000,36,Completed,2012-06-22 00:00:00,0.17018,0.1485,WI,Other,Retired,779.0,Excellent,10-14.99%,1
67420,2013-12-22 17:58:54.670000000,36,Current,,0.20933,0.1725,WI,Food Service Management,Employed,659.0,Fair,15-19.99%,1
67449,2007-03-02 20:51:20.407000000,36,Completed,2010-03-13 00:00:00,0.18454,0.17,WI,Clerical,Full-time,559.0,Poor,15-19.99%,1
67484,2010-04-01 19:02:54.320000000,36,Completed,2013-02-05 00:00:00,0.12309,0.102,WI,Professional,Full-time,799.0,Excellent,10-14.99%,1
67488,2014-02-09 08:09:11.910000000,60,Current,,0.18938,0.1655,WI,Laborer,Employed,759.0,Excellent,15-19.99%,1
67570,2012-06-14 08:09:59.960000000,60,Chargedoff,2014-02-19 00:00:00,0.27462,0.2489,WI,Skilled Labor,Employed,759.0,Excellent,20-24.99%,1
67595,2009-11-25 07:08:44.147000000,36,Completed,2010-04-06 00:00:00,0.27712,0.254,WI,Professional,Full-time,659.0,Fair,25-29.99%,1
67635,2012-04-04 15:13:02.407000000,60,Current,,0.35838,0.3304,WI,Other,Not employed,639.0,Poor,30-34.99%,1
67660,2010-01-14 06:43:16.560000000,36,Completed,2011-01-04 00:00:00,0.36235,0.338,WI,Scientist,Full-time,639.0,Poor,30-34.99%,1
